"Accuracy","Regret","Method","Scenario","Data","Parameter"
0.581155555555556,116.125041508915,"DWOLS","linear","train","30"
0.581244444444444,113.05544995696,"DWOLS","linear","train","30"
0.539644444444444,123.737550714222,"DWOLS","linear","train","30"
0.595733333333333,104.67556589886,"DWOLS","linear","train","30"
0.627733333333333,102.28338235805,"DWOLS","linear","train","30"
0.569688888888889,107.537410472393,"DWOLS","linear","train","30"
0.5648,116.581445758577,"DWOLS","linear","train","30"
0.572088888888889,101.650277124397,"DWOLS","linear","train","40"
0.589244444444444,101.058217651009,"DWOLS","linear","train","40"
0.586577777777778,98.5503323424882,"DWOLS","linear","train","40"
0.601955555555556,89.5293814268322,"DWOLS","linear","train","40"
0.552977777777778,130.326566633579,"DWOLS","linear","train","40"
0.587466666666667,101.551032273322,"DWOLS","linear","train","40"
0.573422222222222,109.39929760585,"DWOLS","linear","train","40"
0.565955555555556,114.856657081642,"DWOLS","linear","train","40"
0.5904,102.330222505899,"DWOLS","linear","train","40"
0.581155555555556,112.218179199581,"DWOLS","linear","train","40"
0.529333333333333,124.88077028465,"DWOLS","linear","train","50"
0.592533333333333,102.613730458082,"DWOLS","linear","train","50"
0.569955555555556,108.895199849792,"DWOLS","linear","train","50"
0.568711111111111,112.7523381737,"DWOLS","linear","train","50"
0.600088888888889,88.692236376343,"DWOLS","linear","train","50"
0.622488888888889,97.1718450322261,"DWOLS","linear","train","50"
0.596533333333333,98.6665603402819,"DWOLS","linear","train","50"
0.549155555555556,123.860635680529,"DWOLS","linear","train","50"
0.556977777777778,105.879300331723,"DWOLS","linear","train","50"
0.551911111111111,112.88609469902,"DWOLS","linear","train","50"
0.615555555555556,88.4253283891611,"DWOLS","linear","train","60"
0.580177777777778,109.868143416645,"DWOLS","linear","train","60"
0.572355555555556,128.098842049867,"DWOLS","linear","train","60"
0.596,96.3930601668083,"DWOLS","linear","train","60"
0.610844444444444,91.5080348514534,"DWOLS","linear","train","60"
0.584888888888889,92.8271456242937,"DWOLS","linear","train","60"
0.551822222222222,98.2192104729171,"DWOLS","linear","train","60"
0.601866666666667,95.6700428725288,"DWOLS","linear","train","60"
0.569866666666667,126.293634914393,"DWOLS","linear","train","60"
0.555733333333333,116.95438451869,"DWOLS","linear","train","60"
0.581066666666667,112.389015179084,"DWOLS","linear","train","70"
0.613422222222222,105.539553350312,"DWOLS","linear","train","70"
0.579733333333333,97.8847588532556,"DWOLS","linear","train","70"
0.568888888888889,99.5714014107919,"DWOLS","linear","train","70"
0.607555555555556,90.0546195209469,"DWOLS","linear","train","70"
0.548622222222222,128.227091542388,"DWOLS","linear","train","70"
0.5912,103.812792934249,"DWOLS","linear","train","70"
0.577422222222222,97.7207435204386,"DWOLS","linear","train","70"
0.610577777777778,89.6054491860348,"DWOLS","linear","train","70"
0.5752,102.677216729754,"DWOLS","linear","train","70"
0.6016,121.814153618735,"DWOLS","linear","train","80"
0.612622222222222,89.7820522256725,"DWOLS","linear","train","80"
0.575644444444444,118.104130330094,"DWOLS","linear","train","80"
0.594577777777778,118.245174507281,"DWOLS","linear","train","80"
0.593422222222222,125.102486540014,"DWOLS","linear","train","80"
0.562666666666667,107.805961462372,"DWOLS","linear","train","80"
0.586222222222222,94.2511258513591,"DWOLS","linear","train","80"
0.5896,103.925604019968,"DWOLS","linear","train","80"
0.605422222222222,84.8858614633926,"DWOLS","linear","train","80"
0.574844444444444,115.05691712236,"DWOLS","linear","train","80"
0.5736,119.036453357652,"DWOLS","linear","train","90"
0.586133333333333,98.2390428615466,"DWOLS","linear","train","90"
0.551555555555556,115.364860218314,"DWOLS","linear","train","90"
0.598755555555556,95.9281733766586,"DWOLS","linear","train","90"
0.572,96.1377697269268,"DWOLS","linear","train","90"
0.585155555555556,98.2627535881465,"DWOLS","linear","train","90"
0.558666666666667,119.497328302785,"DWOLS","linear","train","90"
0.576266666666667,113.498943681413,"DWOLS","linear","train","90"
0.566311111111111,99.8544504624533,"DWOLS","linear","train","90"
0.581688888888889,107.399900551399,"DWOLS","linear","train","90"
0.608444444444444,96.8410425603867,"DWOLS","linear","train","100"
0.560355555555555,100.7571157551,"DWOLS","linear","train","100"
0.537066666666667,119.940053337451,"DWOLS","linear","train","100"
0.608888888888889,94.3404050868676,"DWOLS","linear","train","100"
0.567911111111111,97.5784097547874,"DWOLS","linear","train","100"
0.568622222222222,130.632153226149,"DWOLS","linear","train","100"
0.586844444444445,110.694140863892,"DWOLS","linear","train","100"
0.568088888888889,99.5153964308622,"DWOLS","linear","train","100"
0.586311111111111,96.6420357543324,"DWOLS","linear","train","100"
0.598933333333333,106.78323268549,"DWOLS","linear","train","100"
0.809955555555556,111.775128732774,"G-Estimation","linear","train","10"
0.838755555555556,99.5723312157379,"G-Estimation","linear","train","10"
0.833777777777778,93.5818124846688,"G-Estimation","linear","train","10"
0.828711111111111,86.9011360940578,"G-Estimation","linear","train","10"
0.820444444444444,119.547651121301,"G-Estimation","linear","train","10"
0.816711111111111,113.517335739355,"G-Estimation","linear","train","10"
0.835822222222222,83.7847896333178,"G-Estimation","linear","train","10"
0.830222222222222,95.3590873425464,"G-Estimation","linear","train","10"
0.819288888888889,100.003527175201,"G-Estimation","linear","train","10"
0.831288888888889,98.3740239924558,"G-Estimation","linear","train","10"
0.813688888888889,118.287046637755,"G-Estimation","linear","train","20"
0.838222222222222,95.1126650698489,"G-Estimation","linear","train","20"
0.819644444444444,108.641079115248,"G-Estimation","linear","train","20"
0.784711111111111,137.363257933679,"G-Estimation","linear","train","20"
0.809333333333333,111.996908809622,"G-Estimation","linear","train","20"
0.824888888888889,96.7376869057901,"G-Estimation","linear","train","20"
0.854933333333333,67.5720090340734,"G-Estimation","linear","train","20"
0.834222222222222,81.9519516902258,"G-Estimation","linear","train","20"
0.795733333333333,113.111347053925,"G-Estimation","linear","train","20"
0.832622222222222,89.0984959348737,"G-Estimation","linear","train","20"
0.824,105.702325952665,"G-Estimation","linear","train","30"
0.8176,111.774665014077,"G-Estimation","linear","train","30"
0.842311111111111,85.7440987030067,"G-Estimation","linear","train","30"
0.838133333333333,81.5148278398044,"G-Estimation","linear","train","30"
0.8064,120.59179292353,"G-Estimation","linear","train","30"
0.832177777777778,87.8082733541405,"G-Estimation","linear","train","30"
0.794133333333333,118.178421439963,"G-Estimation","linear","train","30"
0.8352,99.5453920247326,"G-Estimation","linear","train","30"
0.8312,103.830783834156,"G-Estimation","linear","train","30"
0.842844444444444,95.3162358606029,"G-Estimation","linear","train","30"
0.800533333333333,133.166108370383,"G-Estimation","linear","train","40"
0.863111111111111,73.4475963797568,"G-Estimation","linear","train","40"
0.826488888888889,102.811468109955,"G-Estimation","linear","train","40"
0.809422222222222,120.046413045737,"G-Estimation","linear","train","40"
0.814311111111111,95.5732214985739,"G-Estimation","linear","train","40"
0.846666666666667,79.1098196301894,"G-Estimation","linear","train","40"
0.824355555555556,100.237257849354,"G-Estimation","linear","train","40"
0.84,91.2236003500588,"G-Estimation","linear","train","40"
0.808266666666667,110.033797249718,"G-Estimation","linear","train","40"
0.807644444444444,116.583930135219,"G-Estimation","linear","train","40"
0.834666666666667,88.6159374751166,"G-Estimation","linear","train","50"
0.844622222222222,88.2433423112707,"G-Estimation","linear","train","50"
0.827111111111111,91.8983579557697,"G-Estimation","linear","train","50"
0.801155555555556,131.318295963544,"G-Estimation","linear","train","50"
0.820355555555556,104.915100567172,"G-Estimation","linear","train","50"
0.826755555555556,97.8213313048715,"G-Estimation","linear","train","50"
0.841777777777778,87.3784196143428,"G-Estimation","linear","train","50"
0.832711111111111,99.7574443933839,"G-Estimation","linear","train","50"
0.835555555555556,103.444610227851,"G-Estimation","linear","train","50"
0.807911111111111,123.766689671809,"G-Estimation","linear","train","50"
0.820266666666667,132.067809025759,"G-Estimation","linear","train","60"
0.821422222222222,105.052821546135,"G-Estimation","linear","train","60"
0.807644444444444,125.541511302262,"G-Estimation","linear","train","60"
0.838311111111111,91.5422635875452,"G-Estimation","linear","train","60"
0.819022222222222,109.060262501019,"G-Estimation","linear","train","60"
0.833422222222222,96.4390372508038,"G-Estimation","linear","train","60"
0.842311111111111,89.3764364167348,"G-Estimation","linear","train","60"
0.804977777777778,129.375712460963,"G-Estimation","linear","train","60"
0.842755555555556,82.1977757342058,"G-Estimation","linear","train","60"
0.815733333333333,119.827157923916,"G-Estimation","linear","train","60"
0.833244444444444,95.6689035993772,"G-Estimation","linear","train","70"
0.815644444444444,109.945299347971,"G-Estimation","linear","train","70"
0.821066666666667,108.394068525143,"G-Estimation","linear","train","70"
0.823022222222222,108.361498531279,"G-Estimation","linear","train","70"
0.836177777777778,84.3816384629753,"G-Estimation","linear","train","70"
0.799022222222222,121.059082766528,"G-Estimation","linear","train","70"
0.835288888888889,82.6743911566749,"G-Estimation","linear","train","70"
0.835911111111111,91.0750319487422,"G-Estimation","linear","train","70"
0.845155555555556,82.3360749818481,"G-Estimation","linear","train","70"
0.820088888888889,107.212933581217,"G-Estimation","linear","train","70"
0.831288888888889,109.887193786841,"G-Estimation","linear","train","80"
0.821422222222222,97.3760274087641,"G-Estimation","linear","train","80"
0.831466666666667,98.0543137402437,"G-Estimation","linear","train","80"
0.849244444444444,81.9935681209114,"G-Estimation","linear","train","80"
0.827911111111111,100.01454527342,"G-Estimation","linear","train","80"
0.8304,96.4069033954439,"G-Estimation","linear","train","80"
0.818755555555556,105.338737619088,"G-Estimation","linear","train","80"
0.814844444444444,125.097552959518,"G-Estimation","linear","train","80"
0.822488888888889,101.721558307398,"G-Estimation","linear","train","80"
0.840622222222222,87.0458204011549,"G-Estimation","linear","train","80"
0.835111111111111,95.7719560675397,"G-Estimation","linear","train","90"
0.832177777777778,102.11766328736,"G-Estimation","linear","train","90"
0.820977777777778,118.363340416558,"G-Estimation","linear","train","90"
0.841155555555556,82.5000391288995,"G-Estimation","linear","train","90"
0.809155555555556,106.731660545472,"G-Estimation","linear","train","90"
0.821155555555556,106.675630320329,"G-Estimation","linear","train","90"
0.836977777777778,102.471433307504,"G-Estimation","linear","train","90"
0.828088888888889,100.485109478138,"G-Estimation","linear","train","90"
0.852,77.4744013527346,"G-Estimation","linear","train","90"
0.816622222222222,95.4232434909655,"G-Estimation","linear","train","90"
0.827911111111111,111.676918344578,"G-Estimation","linear","train","100"
0.850755555555556,83.1644227029288,"G-Estimation","linear","train","100"
0.828533333333333,84.0957112026977,"G-Estimation","linear","train","100"
0.822666666666667,99.3034484178238,"G-Estimation","linear","train","100"
0.820088888888889,120.077085472444,"G-Estimation","linear","train","100"
0.834666666666667,97.7185889019186,"G-Estimation","linear","train","100"
0.824,112.808947271399,"G-Estimation","linear","train","100"
0.837688888888889,82.5049500644134,"G-Estimation","linear","train","100"
0.824977777777778,101.75602349482,"G-Estimation","linear","train","100"
0.827377777777778,109.364245165866,"G-Estimation","linear","train","100"
0.698666666666667,6.13918582872761,"k-NN Regression","linear","train","10"
0.707022222222222,5.92573121092302,"k-NN Regression","linear","train","10"
0.7016,5.98543129114753,"k-NN Regression","linear","train","10"
0.693333333333333,6.26859257027023,"k-NN Regression","linear","train","10"
0.689955555555556,6.28252167622689,"k-NN Regression","linear","train","10"
0.6992,6.21597145821132,"k-NN Regression","linear","train","10"
0.714844444444445,5.7324901131559,"k-NN Regression","linear","train","10"
0.698666666666667,6.15489616940705,"k-NN Regression","linear","train","10"
0.701422222222222,6.18881238386123,"k-NN Regression","linear","train","10"
0.701066666666667,6.07883209957984,"k-NN Regression","linear","train","10"
0.694577777777778,6.29163949348664,"k-NN Regression","linear","train","20"
0.683644444444444,6.45461976402579,"k-NN Regression","linear","train","20"
0.695288888888889,6.33241953858168,"k-NN Regression","linear","train","20"
0.691644444444445,6.23206419039684,"k-NN Regression","linear","train","20"
0.688622222222222,6.4237977099729,"k-NN Regression","linear","train","20"
0.696177777777778,6.20711587423293,"k-NN Regression","linear","train","20"
0.700088888888889,6.20494355788445,"k-NN Regression","linear","train","20"
0.692533333333333,6.21924672470969,"k-NN Regression","linear","train","20"
0.687644444444445,6.31680180199367,"k-NN Regression","linear","train","20"
0.711377777777778,6.11533321957052,"k-NN Regression","linear","train","20"
0.686666666666667,6.52971905506007,"k-NN Regression","linear","train","30"
0.696266666666667,6.19951642853028,"k-NN Regression","linear","train","30"
0.680977777777778,6.61282122284049,"k-NN Regression","linear","train","30"
0.6808,6.44997890500924,"k-NN Regression","linear","train","30"
0.684977777777778,6.43337595124924,"k-NN Regression","linear","train","30"
0.680888888888889,6.47118306954955,"k-NN Regression","linear","train","30"
0.679111111111111,6.52683069385467,"k-NN Regression","linear","train","30"
0.6864,6.46916189964096,"k-NN Regression","linear","train","30"
0.691288888888889,6.30878877354764,"k-NN Regression","linear","train","30"
0.679644444444444,6.44404652551967,"k-NN Regression","linear","train","30"
0.681511111111111,6.41694512298805,"k-NN Regression","linear","train","40"
0.6904,6.36045523722879,"k-NN Regression","linear","train","40"
0.681155555555556,6.53771239735347,"k-NN Regression","linear","train","40"
0.692444444444444,6.20586623040267,"k-NN Regression","linear","train","40"
0.681155555555556,6.44908513079593,"k-NN Regression","linear","train","40"
0.685866666666667,6.41530885040602,"k-NN Regression","linear","train","40"
0.688177777777778,6.32127985517338,"k-NN Regression","linear","train","40"
0.685866666666667,6.34850942588229,"k-NN Regression","linear","train","40"
0.680355555555555,6.41721851684985,"k-NN Regression","linear","train","40"
0.6792,6.39506146556284,"k-NN Regression","linear","train","40"
0.681866666666667,6.53215925692534,"k-NN Regression","linear","train","50"
0.678577777777778,6.56099554955512,"k-NN Regression","linear","train","50"
0.676533333333333,6.67730706761727,"k-NN Regression","linear","train","50"
0.6808,6.42472483325653,"k-NN Regression","linear","train","50"
0.679644444444444,6.51321253960421,"k-NN Regression","linear","train","50"
0.682577777777778,6.42673254044547,"k-NN Regression","linear","train","50"
0.6824,6.51167780094255,"k-NN Regression","linear","train","50"
0.678222222222222,6.48274157728455,"k-NN Regression","linear","train","50"
0.682933333333333,6.3583479342596,"k-NN Regression","linear","train","50"
0.679022222222222,6.44751806085125,"k-NN Regression","linear","train","50"
0.677866666666667,6.48150152925038,"k-NN Regression","linear","train","60"
0.681244444444444,6.38209840799378,"k-NN Regression","linear","train","60"
0.681688888888889,6.45418653674139,"k-NN Regression","linear","train","60"
0.6824,6.47326332992583,"k-NN Regression","linear","train","60"
0.676888888888889,6.54195098087221,"k-NN Regression","linear","train","60"
0.679022222222222,6.43662880040898,"k-NN Regression","linear","train","60"
0.6816,6.46121904352918,"k-NN Regression","linear","train","60"
0.676444444444445,6.4826997133426,"k-NN Regression","linear","train","60"
0.683733333333333,6.50386489161615,"k-NN Regression","linear","train","60"
0.677866666666667,6.56017720506524,"k-NN Regression","linear","train","60"
0.680888888888889,6.52476750311695,"k-NN Regression","linear","train","70"
0.6776,6.59334100535449,"k-NN Regression","linear","train","70"
0.679288888888889,6.54634760901768,"k-NN Regression","linear","train","70"
0.678222222222222,6.47615954135896,"k-NN Regression","linear","train","70"
0.679555555555556,6.47393663656827,"k-NN Regression","linear","train","70"
0.678933333333333,6.53553417061287,"k-NN Regression","linear","train","70"
0.679911111111111,6.47638835983929,"k-NN Regression","linear","train","70"
0.680888888888889,6.41840012000436,"k-NN Regression","linear","train","70"
0.681155555555556,6.518155453512,"k-NN Regression","linear","train","70"
0.680177777777778,6.59283154898808,"k-NN Regression","linear","train","70"
0.6792,6.51520742984677,"k-NN Regression","linear","train","80"
0.678933333333333,6.56760130366309,"k-NN Regression","linear","train","80"
0.678844444444444,6.50252158301239,"k-NN Regression","linear","train","80"
0.678666666666667,6.51128602239967,"k-NN Regression","linear","train","80"
0.684,6.49611938162537,"k-NN Regression","linear","train","80"
0.677422222222222,6.55608754350369,"k-NN Regression","linear","train","80"
0.679022222222222,6.59479878209129,"k-NN Regression","linear","train","80"
0.683822222222222,6.46429414007296,"k-NN Regression","linear","train","80"
0.679822222222222,6.57486225922095,"k-NN Regression","linear","train","80"
0.677688888888889,6.54137386691499,"k-NN Regression","linear","train","80"
0.679466666666667,6.48766264798162,"k-NN Regression","linear","train","90"
0.7096,5.92630886793976,"k-NN Regression","linear","train","90"
0.6808,6.43059981550622,"k-NN Regression","linear","train","90"
0.677422222222222,6.43737032825312,"k-NN Regression","linear","train","90"
0.683555555555556,6.4347022997467,"k-NN Regression","linear","train","90"
0.677688888888889,6.55494116134773,"k-NN Regression","linear","train","90"
0.675822222222222,6.57244712990286,"k-NN Regression","linear","train","90"
0.689777777777778,6.39792779397372,"k-NN Regression","linear","train","90"
0.679022222222222,6.37857686863361,"k-NN Regression","linear","train","90"
0.678577777777778,6.542408618641,"k-NN Regression","linear","train","90"
0.676622222222222,6.46623571159402,"k-NN Regression","linear","train","100"
0.679022222222222,6.52044886983806,"k-NN Regression","linear","train","100"
0.676622222222222,6.44035878858053,"k-NN Regression","linear","train","100"
0.675911111111111,6.64110798414696,"k-NN Regression","linear","train","100"
0.678577777777778,6.54769600635154,"k-NN Regression","linear","train","100"
0.678488888888889,6.55141291633657,"k-NN Regression","linear","train","100"
0.675555555555556,6.52512396636708,"k-NN Regression","linear","train","100"
0.677955555555556,6.50570217883941,"k-NN Regression","linear","train","100"
0.679555555555556,6.37895175348444,"k-NN Regression","linear","train","100"
0.679377777777778,6.48456332501771,"k-NN Regression","linear","train","100"
0.810133333333333,55.9596285295151,"DTR-CT","linear","train","10"
0.942488888888889,8.71317580682712,"DTR-CT","linear","train","10"
0.882133333333333,44.5169639777436,"DTR-CT","linear","train","10"
0.966044444444444,0.282173135245297,"DTR-CT","linear","train","10"
0.979733333333333,0.234503558391007,"DTR-CT","linear","train","10"
0.9496,5.63157192649836,"DTR-CT","linear","train","10"
0.987644444444444,0.0475022819168038,"DTR-CT","linear","train","10"
0.980266666666667,0.169574584941617,"DTR-CT","linear","train","10"
0.867288888888889,55.0842653644351,"DTR-CT","linear","train","10"
0.959111111111111,0.653164632902675,"DTR-CT","linear","train","10"
0.950844444444444,0.860449687295767,"DTR-CT","linear","train","20"
0.989777777777778,0.039602327375089,"DTR-CT","linear","train","20"
0.952355555555556,0.884645822651854,"DTR-CT","linear","train","20"
0.957511111111111,7.88770966179673,"DTR-CT","linear","train","20"
0.926844444444444,1.31610793376008,"DTR-CT","linear","train","20"
0.880622222222222,2.13208722301313,"DTR-CT","linear","train","20"
0.96,0.710481737193979,"DTR-CT","linear","train","20"
0.950666666666667,0.982674863610784,"DTR-CT","linear","train","20"
0.864711111111111,2.33548471101171,"DTR-CT","linear","train","20"
0.988622222222222,0.0409649996061729,"DTR-CT","linear","train","20"
0.943466666666667,0.922415517390901,"DTR-CT","linear","train","30"
0.942577777777778,1.04114439339128,"DTR-CT","linear","train","30"
0.900177777777778,1.92226414415523,"DTR-CT","linear","train","30"
0.987644444444444,0.0511213464250917,"DTR-CT","linear","train","30"
0.971822222222222,0.397780031742363,"DTR-CT","linear","train","30"
0.987377777777778,0.0554563772474829,"DTR-CT","linear","train","30"
0.949066666666667,0.926802483400342,"DTR-CT","linear","train","30"
0.953155555555556,0.87825452677034,"DTR-CT","linear","train","30"
0.9576,0.774954907501757,"DTR-CT","linear","train","30"
0.944355555555556,12.8064413123213,"DTR-CT","linear","train","30"
0.9256,1.47817406242004,"DTR-CT","linear","train","40"
0.935111111111111,1.08703269078098,"DTR-CT","linear","train","40"
0.988177777777778,0.0478667071133063,"DTR-CT","linear","train","40"
0.958933333333333,0.787997301891816,"DTR-CT","linear","train","40"
0.925333333333333,1.38238485934999,"DTR-CT","linear","train","40"
0.987911111111111,0.0485677262537737,"DTR-CT","linear","train","40"
0.988533333333333,0.0462125062646829,"DTR-CT","linear","train","40"
0.987911111111111,0.0524912119571611,"DTR-CT","linear","train","40"
0.958933333333333,0.834102659604763,"DTR-CT","linear","train","40"
0.909333333333333,1.03598632351713,"DTR-CT","linear","train","40"
0.941777777777778,1.14280490454317,"DTR-CT","linear","train","50"
0.986044444444444,0.0631807493722504,"DTR-CT","linear","train","50"
0.957244444444444,0.727765550198672,"DTR-CT","linear","train","50"
0.986844444444444,0.0616586988881164,"DTR-CT","linear","train","50"
0.987733333333333,0.0577322194146373,"DTR-CT","linear","train","50"
