"Accuracy","Regret","Approach","Scenario","Data"
0.539288888888889,36.5737086764145,"G-Estimation","linear interactions","train"
0.418844444444444,47.9630575352103,"G-Estimation","linear interactions","train"
0.468177777777778,41.2903432308252,"G-Estimation","linear interactions","train"
0.5408,37.711999745694,"G-Estimation","linear interactions","train"
0.504355555555556,36.4519256808437,"G-Estimation","linear interactions","train"
0.459555555555556,46.1802235141728,"G-Estimation","linear interactions","train"
0.491377777777778,42.7416568034984,"G-Estimation","linear interactions","train"
0.451822222222222,46.6841217704091,"G-Estimation","linear interactions","train"
0.449155555555556,47.6994325567759,"G-Estimation","linear interactions","train"
0.459466666666667,45.2175326494776,"G-Estimation","linear interactions","train"
0.441422222222222,48.2331022602678,"G-Estimation","linear interactions","train"
0.543022222222222,38.2369798534008,"G-Estimation","linear interactions","train"
0.493422222222222,40.4075124306223,"G-Estimation","linear interactions","train"
0.469511111111111,43.8295591711798,"G-Estimation","linear interactions","train"
0.425955555555556,49.0059781376193,"G-Estimation","linear interactions","train"
0.469688888888889,44.6268962427161,"G-Estimation","linear interactions","train"
0.450044444444444,45.6956874274742,"G-Estimation","linear interactions","train"
0.508622222222222,38.8858234504564,"G-Estimation","linear interactions","train"
0.508,37.5831371293921,"G-Estimation","linear interactions","train"
0.464177777777778,45.8160678348836,"G-Estimation","linear interactions","train"
0.492444444444444,41.5033188469644,"G-Estimation","linear interactions","train"
0.490755555555556,39.1813594861467,"G-Estimation","linear interactions","train"
0.619733333333333,26.8793268110064,"G-Estimation","linear interactions","train"
0.481955555555556,44.1227697601804,"G-Estimation","linear interactions","train"
0.429688888888889,46.6005912085275,"G-Estimation","linear interactions","train"
0.478666666666667,42.8299958220417,"G-Estimation","linear interactions","train"
0.492533333333333,42.7738014392835,"G-Estimation","linear interactions","train"
0.495466666666667,44.1222489618022,"G-Estimation","linear interactions","train"
0.525422222222222,40.9948212889267,"G-Estimation","linear interactions","train"
0.539733333333333,38.2920817437355,"G-Estimation","linear interactions","train"
0.842044444444444,4.09162626431415,"CART","linear interactions","train"
0.847466666666667,2.77919848756845,"CART","linear interactions","train"
0.842488888888889,3.59463377441473,"CART","linear interactions","train"
0.814666666666667,3.90748695485346,"CART","linear interactions","train"
0.847466666666667,2.85595999830376,"CART","linear interactions","train"
0.818666666666667,5.04862626743324,"CART","linear interactions","train"
0.855377777777778,3.03547133682971,"CART","linear interactions","train"
0.834666666666667,3.51739877156986,"CART","linear interactions","train"
0.855111111111111,2.80967686599975,"CART","linear interactions","train"
0.856533333333333,2.33947688429442,"CART","linear interactions","train"
0.819555555555556,3.34800282439597,"CART","linear interactions","train"
0.863644444444444,3.04330966664922,"CART","linear interactions","train"
0.833244444444444,2.778700148839,"CART","linear interactions","train"
0.853066666666667,3.13611880841133,"CART","linear interactions","train"
0.803733333333333,5.72171318801675,"CART","linear interactions","train"
0.808977777777778,4.22176721287985,"CART","linear interactions","train"
0.846933333333333,2.61062022883586,"CART","linear interactions","train"
0.866311111111111,2.68745720077682,"CART","linear interactions","train"
0.835288888888889,2.7170810034428,"CART","linear interactions","train"
0.8472,3.28428156503148,"CART","linear interactions","train"
0.848088888888889,2.60256626418376,"CART","linear interactions","train"
0.827911111111111,4.54424948319222,"CART","linear interactions","train"
0.859733333333333,3.12660173149902,"CART","linear interactions","train"
0.839466666666667,3.69798012355369,"CART","linear interactions","train"
0.805866666666667,5.12124568586977,"CART","linear interactions","train"
0.858755555555556,2.23126199129297,"CART","linear interactions","train"
0.843466666666667,3.39398388448996,"CART","linear interactions","train"
0.834311111111111,3.2330495035269,"CART","linear interactions","train"
0.831288888888889,4.46274376616185,"CART","linear interactions","train"
0.833066666666667,4.43783188921074,"CART","linear interactions","train"
0.849066666666667,3.26395037883525,"CART","linear interactions","train"
0.836711111111111,3.05151840790484,"CART","linear interactions","train"
0.8472,2.49918391121022,"CART","linear interactions","train"
0.856711111111111,2.97027870631637,"CART","linear interactions","train"
0.837777777777778,2.79175559762257,"CART","linear interactions","train"
0.8288,3.64565027816491,"CART","linear interactions","train"
0.862488888888889,3.04102250182448,"CART","linear interactions","train"
0.833955555555556,3.84865561227289,"CART","linear interactions","train"
0.852088888888889,2.93723179809814,"CART","linear interactions","train"
0.853066666666667,2.83875906640094,"CART","linear interactions","train"
0.841511111111111,3.38356122856668,"CART","linear interactions","train"
0.841066666666667,2.71520481910577,"CART","linear interactions","train"
0.810044444444444,4.23629858335984,"CART","linear interactions","train"
0.813244444444444,4.12215362438117,"CART","linear interactions","train"
0.847111111111111,3.34247622146579,"CART","linear interactions","train"
0.864,2.33599327713819,"CART","linear interactions","train"
0.841066666666667,4.46048988780903,"CART","linear interactions","train"
0.832444444444444,3.39038348061633,"CART","linear interactions","train"
0.813244444444444,5.1611540658402,"CART","linear interactions","train"
0.855111111111111,2.97877268869518,"CART","linear interactions","train"
0.831555555555556,4.10017117075866,"CART","linear interactions","train"
0.839466666666667,4.05217231433847,"CART","linear interactions","train"
0.851288888888889,3.20591025297376,"CART","linear interactions","train"
0.837688888888889,3.7744985624546,"CART","linear interactions","train"
0.833688888888889,3.58085344577868,"CART","linear interactions","train"
0.845866666666667,2.6234726481935,"CART","linear interactions","train"
0.815111111111111,4.79118564256422,"CART","linear interactions","train"
0.811466666666667,4.75419866647172,"CART","linear interactions","train"
0.837155555555556,3.05079888559963,"CART","linear interactions","train"
0.862933333333333,2.68358772431834,"CART","linear interactions","train"
0.8496,2.85817744302499,"CART","linear interactions","train"
0.802933333333333,5.32421951888178,"CART","linear interactions","train"
0.799733333333333,5.92925706830447,"CART","linear interactions","train"
0.856,2.3440914896842,"CART","linear interactions","train"
0.802044444444444,5.21887093038269,"CART","linear interactions","train"
0.848977777777778,3.44338194575661,"CART","linear interactions","train"
0.872355555555556,2.34275776243752,"CART","linear interactions","train"
0.886311111111111,2.11553148146863,"CART","linear interactions","train"
0.8544,2.48796347636341,"CART","linear interactions","train"
0.845066666666667,2.96844203774232,"CART","linear interactions","train"
0.856088888888889,2.74901800319265,"CART","linear interactions","train"
0.821333333333333,4.06016908399114,"CART","linear interactions","train"
0.852355555555556,3.30077834225973,"CART","linear interactions","train"
0.835377777777778,3.37398140220369,"CART","linear interactions","train"
0.821155555555556,4.00683648625358,"CART","linear interactions","train"
0.832888888888889,3.18024420136336,"CART","linear interactions","train"
0.871022222222222,1.92777891639012,"CART","linear interactions","train"
0.874666666666667,1.91898734857813,"CART","linear interactions","train"
0.825866666666667,3.70674742155345,"CART","linear interactions","train"
0.865333333333333,2.1743220242145,"CART","linear interactions","train"
0.8608,2.5638012771863,"CART","linear interactions","train"
0.818933333333333,3.95501312757718,"CART","linear interactions","train"
0.870666666666667,2.91323717158031,"CART","linear interactions","train"
0.84,4.01912179028976,"CART","linear interactions","train"
0.802311111111111,5.4607614961605,"CART","linear interactions","train"
0.834577777777778,3.95463744607812,"CART","linear interactions","train"
0.860622222222222,2.26200894715949,"CART","linear interactions","train"
0.8336,3.27077889919923,"CART","linear interactions","train"
0.849955555555556,4.99728989891228,"CART","linear interactions","train"
0.869066666666667,2.8089931160737,"CART","linear interactions","train"
0.803555555555556,4.54955063231025,"CART","linear interactions","train"
0.8224,4.89766188610898,"CART","linear interactions","train"
0.806844444444444,5.25448571613944,"CART","linear interactions","train"
0.848355555555556,3.06766021764905,"CART","linear interactions","train"
0.822311111111111,4.69139927690849,"CART","linear interactions","train"
0.826933333333333,4.36467191244921,"CART","linear interactions","train"
0.847022222222222,3.28552127075018,"CART","linear interactions","train"
0.854666666666667,3.11013989264349,"CART","linear interactions","train"
0.834933333333333,3.78045907305674,"CART","linear interactions","train"
0.801333333333333,5.5115745412332,"CART","linear interactions","train"
0.652977777777778,29.3473776104372,"k-NN Regression","linear interactions","train"
0.651733333333333,29.352508396817,"k-NN Regression","linear interactions","train"
0.656355555555556,28.378662482766,"k-NN Regression","linear interactions","train"
0.638577777777778,29.37290892699,"k-NN Regression","linear interactions","train"
0.644711111111111,30.2440779442084,"k-NN Regression","linear interactions","train"
0.646488888888889,29.9752467951415,"k-NN Regression","linear interactions","train"
0.653955555555556,29.3951001631351,"k-NN Regression","linear interactions","train"
0.643377777777778,29.6186265692059,"k-NN Regression","linear interactions","train"
0.648977777777778,28.9231441270231,"k-NN Regression","linear interactions","train"
0.646488888888889,28.9120972536721,"k-NN Regression","linear interactions","train"
0.656,28.7384197070168,"k-NN Regression","linear interactions","train"
0.6664,28.7441228954041,"k-NN Regression","linear interactions","train"
0.649955555555556,29.2616721808033,"k-NN Regression","linear interactions","train"
0.655822222222222,28.7811435787615,"k-NN Regression","linear interactions","train"
0.646488888888889,29.8629999505336,"k-NN Regression","linear interactions","train"
0.6336,30.7652085458942,"k-NN Regression","linear interactions","train"
0.646311111111111,29.7848440498244,"k-NN Regression","linear interactions","train"
0.6424,29.4069852626119,"k-NN Regression","linear interactions","train"
0.634133333333333,30.2898539836163,"k-NN Regression","linear interactions","train"
0.633333333333333,30.1092449445197,"k-NN Regression","linear interactions","train"
0.652,28.966285733524,"k-NN Regression","linear interactions","train"
0.6576,28.2670729021654,"k-NN Regression","linear interactions","train"
0.652977777777778,28.0817975645619,"k-NN Regression","linear interactions","train"
0.650844444444444,28.7390318324655,"k-NN Regression","linear interactions","train"
0.6456,29.3812472554019,"k-NN Regression","linear interactions","train"
0.641066666666667,28.8857416947458,"k-NN Regression","linear interactions","train"
0.650311111111111,29.5260176975206,"k-NN Regression","linear interactions","train"
0.660444444444444,28.8371344670363,"k-NN Regression","linear interactions","train"
0.6448,29.7863897949491,"k-NN Regression","linear interactions","train"
0.664177777777778,27.7758338349664,"k-NN Regression","linear interactions","train"
0.627022222222222,31.4493589652799,"k-NN Regression","linear interactions","train"
0.6424,30.2109424813147,"k-NN Regression","linear interactions","train"
0.657066666666667,27.4979567301434,"k-NN Regression","linear interactions","train"
0.636977777777778,30.4506394814647,"k-NN Regression","linear interactions","train"
0.635466666666667,30.5638184967196,"k-NN Regression","linear interactions","train"
0.642844444444444,29.6503777170744,"k-NN Regression","linear interactions","train"
0.642844444444444,29.6585280772347,"k-NN Regression","linear interactions","train"
0.632977777777778,30.8536945293262,"k-NN Regression","linear interactions","train"
0.650577777777778,28.9371181414265,"k-NN Regression","linear interactions","train"
0.644,29.2081343491148,"k-NN Regression","linear interactions","train"
0.653511111111111,28.5707785476715,"k-NN Regression","linear interactions","train"
